id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/klaytn.png?1660288824,0.137669,439622930,86,,5692474.0,0.140093,0.134192,-0.002114879207050585,-1.51296,-7470933.781358421,-1.671,3193244368.0609,,,4.34,-96.82503,2021-03-30T03:44:28.828Z,0.06044,127.92883,2020-04-29T08:19:34.574Z,,2023-08-23T03:38:36.757Z
chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/CHZ_Token_updated.png?1675848257,0.062719,437299487,87,557239559.0,29835515.0,0.064613,0.060712,-0.000910935962250739,-1.43162,-7163003.1100075245,-1.61161,6975647158.46,8888888888.0,8888888888.0,0.878633,-92.86242,2021-03-13T08:04:21.200Z,0.00410887,1426.28534,2019-09-28T00:00:00.000Z,"{'times': 1.8508565276718127, 'currency': 'usd', 'percentage': 185.08565276718127}",2023-08-23T03:38:40.075Z
frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/Frax_Shares_icon.png?1679886947,5.72,418344697,88,570294341.0,25991563.0,6.13,5.49,-0.3678398972262489,-6.03832,-28387687.76917684,-6.35452,73122284.5543135,99681495.5911336,99681495.5911336,42.8,-86.62624,2022-01-12T15:22:27.465Z,1.5,280.79365,2021-06-25T16:50:51.447Z,,2023-08-23T03:38:39.756Z
sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1683114182,0.565303,413822641,89,5722404278.0,192998166.0,0.574874,0.50956,0.053026,10.35098,43797945.0,11.83649,723162190.461538,10000000000.0,10000000000.0,2.16,-73.54712,2023-05-03T12:00:26.430Z,0.462847,23.59329,2023-08-17T22:50:06.690Z,,2023-08-23T03:38:36.623Z
frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1679886981,1631.16,413022303,90,413022303.0,2753202.0,1664.29,1600.66,-29.534774164712644,-1.77846,-7595890.936427414,-1.80589,253314.329429792,253314.329429792,,2134.61,-23.56289,2023-04-16T19:24:52.171Z,1137.25,43.4723,2022-11-23T02:25:33.267Z,,2023-08-23T03:38:40.809Z
casper-network,cspr,Casper Network,https://assets.coingecko.com/coins/images/15279/large/casper.PNG?1620341020,0.0356578,401456683,91,426043652.0,3600106.0,0.03619576,0.03442821,0.0004418,1.25453,4292907.0,1.08089,11265774737.0,11955740232.0,,1.33,-97.30992,2021-05-12T00:00:00.000Z,0.02241297,59.08419,2022-06-18T20:14:44.694Z,,2023-08-23T03:38:43.597Z
curve-dao-token,crv,Curve DAO,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,0.469354,401165145,92,1548347177.0,67721673.0,0.480651,0.44334,-0.003820488598507532,-0.80742,-5192915.602304876,-1.27792,855790386.0,2000086196.93984,3303030299.0,15.37,-96.94219,2020-08-14T00:00:00.000Z,0.331577,41.76179,2020-11-05T13:09:50.181Z,,2023-08-23T03:38:36.790Z
iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.143726,399451316,93,399451316.0,5930061.0,0.144326,0.139437,0.00089348,0.62554,2144399.0,0.53973,2779530283.277761,2779530283.0,,5.25,-97.25946,2017-12-19T00:00:00.000Z,0.081637,76.19962,2020-03-13T02:22:41.168Z,"{'times': 3.124471872252889, 'currency': 'btc', 'percentage': 312.44718722528887}",2023-08-23T03:38:36.701Z
bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1643857231,4.12443e-07,392223658,94,408127559.0,25098845.0,4.15236e-07,4.04477e-07,-1.995892778e-09,-0.48159,-2160959.3064923882,-0.54793,951421714286000.0,990000000000000.0,990000000000000.0,3.43e-06,-87.97478,2022-01-21T04:00:31.909Z,4.04477e-07,2.0147,2023-08-22T21:30:58.414Z,,2023-08-23T03:38:44.527Z
tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1672912391,4.81,384790714,95,481012443.0,5821084.0,4.9,4.77,-0.059007354449759575,-1.21133,-4143917.682634115,-1.06545,79995999.94518414,100000000.0,100000000.0,22.3,-78.42605,2022-10-31T10:23:59.455Z,0.111255,4223.57378,2019-04-28T00:00:00.000Z,"{'times': 15.565565698568781, 'currency': 'usd', 'percentage': 1556.5565698568782}",2023-08-23T03:38:23.737Z
huobi-token,ht,Huobi,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,2.39,381107818,96,480670048.0,14658007.0,2.41,2.37,-0.01741426326653306,-0.723,-2369098.8271155357,-0.61779,159406077.0,201050000.0,201050000.0,39.66,-93.97203,2021-05-12T14:42:21.586Z,0.3138,661.86761,2023-03-10T05:05:00+08:00,"{'times': 1.415336774367501, 'currency': 'usd', 'percentage': 141.5336774367501}",2023-08-23T03:38:35.457Z
mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,0.397476,379950244,97,423984198.0,6812152.0,0.401772,0.386245,-0.00169242619956711,-0.42399,-1899190.2381920815,-0.49737,955397352.840039,1066122172.84004,,9.09,-95.62183,2021-06-01T01:42:37.064Z,0.372282,6.90572,2023-08-17T21:49:55.138Z,,2023-08-23T03:38:39.298Z
terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1653547790,6.489e-05,377443902,98,443928955.0,18129921.0,6.625e-05,6.168e-05,-1.324999965523e-06,-2.00112,-6906704.601214349,-1.79698,5814059035347.6,6838179488614.6,,119.18,-99.99995,2022-04-05T12:24:58.854Z,9.99967e-07,6407.11588,2022-05-13T02:34:40.340Z,,2023-08-23T03:38:42.100Z
